classificacao;pais;consumo;x;y;tamanho
1;Republica Checa;156.9;100;200;0.0.99
2;Irlanda;131.1;300;120;0.80
3;Alemanha;115.8;10;30;0.70
4;Australia;109.9;330;70;0.65
5;Austria;108.3;50;90;0.78
6;Reino Unido;99.0;10;300;0.70
7;Belgica;93.0;20;450;0.65
8;Dinamarca;89.9;240;490;0.50
9;Finlandia;85.0;5;140;0.60
10;Luxemburgo;84.4;90;370;0.50
11;Eslovaquia;84.1;470;340;0.40
12;Espanha;83.8;510;130;0.30
13;Estados Unidos;81.6;250;250;0.30
14;Croacia;81.2;580;480;0.99
15;Paises Baixos;79.0;240;420;0.100